r_bar 	 gA 	 gD 	 gS 	 sigma_bar_0 	 gamma_bar_0 	 phase
1.0	1.0	0.0	10.0	0.5	1.0	1
1.0	1.0	0.0	10.0	0.75	1.0	1
1.0	1.0	0.0	10.0	1.0	1.0	1
1.0	1.0	0.0	10.0	1.25	1.0	1
1.0	1.0	0.0	10.0	1.5	1.0	1
1.0	1.0	0.0	10.0	1.75	1.0	1
1.0	1.0	0.0	10.0	2.0	1.0	1
1.0	1.0	0.0	10.0	2.25	1.0	1
1.0	1.0	0.0	10.0	2.5	1.0	1
1.0	1.0	0.0	10.0	2.75	1.0	1
1.0	1.0	0.0	10.0	3.0	1.0	1
1.0	1.0	0.0	10.0	3.25	1.0	1
1.0	1.0	0.0	10.0	3.5	1.0	1
1.0	1.0	0.0	10.0	3.75	1.0	1
1.0	1.0	0.0	10.0	4.0	1.0	1
1.0	1.0	0.0	10.0	4.25	1.0	1
1.0	1.0	0.0	10.0	4.5	1.0	1
1.0	1.0	0.0	10.0	4.75	1.0	1
1.0	1.0	0.0	10.0	5.0	1.0	1
1.0	1.0	0.0	10.0	5.25	1.0	1
1.0	1.0	0.0	10.0	5.5	1.0	1
1.0	1.0	0.0	10.0	0.5	1.5	1
1.0	1.0	0.0	10.0	0.75	1.5	1
1.0	1.0	0.0	10.0	1.0	1.5	1
1.0	1.0	0.0	10.0	1.25	1.5	1
1.0	1.0	0.0	10.0	1.5	1.5	1
1.0	1.0	0.0	10.0	1.75	1.5	1
1.0	1.0	0.0	10.0	2.0	1.5	1
1.0	1.0	0.0	10.0	2.25	1.5	1
1.0	1.0	0.0	10.0	2.5	1.5	1
1.0	1.0	0.0	10.0	2.75	1.5	1
1.0	1.0	0.0	10.0	3.0	1.5	1
1.0	1.0	0.0	10.0	3.25	1.5	1
1.0	1.0	0.0	10.0	3.5	1.5	1
1.0	1.0	0.0	10.0	3.75	1.5	1
1.0	1.0	0.0	10.0	4.0	1.5	1
1.0	1.0	0.0	10.0	4.25	1.5	1
1.0	1.0	0.0	10.0	4.5	1.5	1
1.0	1.0	0.0	10.0	4.75	1.5	1
1.0	1.0	0.0	10.0	5.0	1.5	1
1.0	1.0	0.0	10.0	5.25	1.5	1
1.0	1.0	0.0	10.0	5.5	1.5	1
1.0	1.0	0.0	10.0	0.5	2.0	2
1.0	1.0	0.0	10.0	0.75	2.0	2
1.0	1.0	0.0	10.0	1.0	2.0	1
1.0	1.0	0.0	10.0	1.25	2.0	1
1.0	1.0	0.0	10.0	1.5	2.0	1
1.0	1.0	0.0	10.0	1.75	2.0	1
1.0	1.0	0.0	10.0	2.0	2.0	1
1.0	1.0	0.0	10.0	2.25	2.0	1
1.0	1.0	0.0	10.0	2.5	2.0	1
1.0	1.0	0.0	10.0	2.75	2.0	1
1.0	1.0	0.0	10.0	3.0	2.0	1
1.0	1.0	0.0	10.0	3.25	2.0	1
1.0	1.0	0.0	10.0	3.5	2.0	1
1.0	1.0	0.0	10.0	3.75	2.0	1
1.0	1.0	0.0	10.0	4.0	2.0	1
1.0	1.0	0.0	10.0	4.25	2.0	1
1.0	1.0	0.0	10.0	4.5	2.0	1
1.0	1.0	0.0	10.0	4.75	2.0	1
1.0	1.0	0.0	10.0	5.0	2.0	1
1.0	1.0	0.0	10.0	5.25	2.0	1
1.0	1.0	0.0	10.0	5.5	2.0	1
1.0	1.0	0.0	10.0	0.5	2.5	2
1.0	1.0	0.0	10.0	0.75	2.5	2
1.0	1.0	0.0	10.0	1.0	2.5	2
1.0	1.0	0.0	10.0	1.25	2.5	2
